"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B1 Varer";"2019M12";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2020M01";"Konsumprisindeksen (2015=100)";109,5
"B1 Varer";"2020M01";"Månedsendring (prosent)";-0,9
"B1 Varer";"2020M01";"12-måneders endring (prosent)";0,3
"B1 Varer";"2020M01";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M02";"Konsumprisindeksen (2015=100)";109,3
"B1 Varer";"2020M02";"Månedsendring (prosent)";-0,2
"B1 Varer";"2020M02";"12-måneders endring (prosent)";-1,4
"B1 Varer";"2020M02";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M03";"Konsumprisindeksen (2015=100)";108,9
"B1 Varer";"2020M03";"Månedsendring (prosent)";-0,4
"B1 Varer";"2020M03";"12-måneders endring (prosent)";-1,7
"B1 Varer";"2020M03";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M04";"Konsumprisindeksen (2015=100)";109,6
"B1 Varer";"2020M04";"Månedsendring (prosent)";0,6
"B1 Varer";"2020M04";"12-måneders endring (prosent)";-1,1
"B1 Varer";"2020M04";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M05";"Konsumprisindeksen (2015=100)";110
"B1 Varer";"2020M05";"Månedsendring (prosent)";0,4
"B1 Varer";"2020M05";"12-måneders endring (prosent)";-0,5
"B1 Varer";"2020M05";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M06";"Konsumprisindeksen (2015=100)";109,9
"B1 Varer";"2020M06";"Månedsendring (prosent)";-0,1
"B1 Varer";"2020M06";"12-måneders endring (prosent)";-0,2
"B1 Varer";"2020M06";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M07";"Konsumprisindeksen (2015=100)";111,1
"B1 Varer";"2020M07";"Månedsendring (prosent)";1,1
"B1 Varer";"2020M07";"12-måneders endring (prosent)";0
"B1 Varer";"2020M07";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M08";"Konsumprisindeksen (2015=100)";110,8
"B1 Varer";"2020M08";"Månedsendring (prosent)";-0,3
"B1 Varer";"2020M08";"12-måneders endring (prosent)";0,9
"B1 Varer";"2020M08";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M09";"Konsumprisindeksen (2015=100)";111,5
"B1 Varer";"2020M09";"Månedsendring (prosent)";0,6
"B1 Varer";"2020M09";"12-måneders endring (prosent)";0,9
"B1 Varer";"2020M09";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M10";"Konsumprisindeksen (2015=100)";112
"B1 Varer";"2020M10";"Månedsendring (prosent)";0,4
"B1 Varer";"2020M10";"12-måneders endring (prosent)";1,4
"B1 Varer";"2020M10";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M11";"Konsumprisindeksen (2015=100)";110,7
"B1 Varer";"2020M11";"Månedsendring (prosent)";-1,2
"B1 Varer";"2020M11";"12-måneders endring (prosent)";-0,5
"B1 Varer";"2020M11";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2020M12";"Konsumprisindeksen (2015=100)";111,6
"B1 Varer";"2020M12";"Månedsendring (prosent)";0,8
"B1 Varer";"2020M12";"12-måneders endring (prosent)";1
"B1 Varer";"2020M12";"Konsumprisindeksen. Vekter";477,9
"B1 Varer";"2021M01";"Konsumprisindeksen (2015=100)";113,7
"B1 Varer";"2021M01";"Månedsendring (prosent)";1,9
"B1 Varer";"2021M01";"12-måneders endring (prosent)";3,8
"B1 Varer";"2021M01";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M02";"Konsumprisindeksen (2015=100)";115,1
"B1 Varer";"2021M02";"Månedsendring (prosent)";1,2
"B1 Varer";"2021M02";"12-måneders endring (prosent)";5,3
"B1 Varer";"2021M02";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M03";"Konsumprisindeksen (2015=100)";114,4
"B1 Varer";"2021M03";"Månedsendring (prosent)";-0,6
"B1 Varer";"2021M03";"12-måneders endring (prosent)";5,1
"B1 Varer";"2021M03";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M04";"Konsumprisindeksen (2015=100)";114,7
"B1 Varer";"2021M04";"Månedsendring (prosent)";0,3
"B1 Varer";"2021M04";"12-måneders endring (prosent)";4,7
"B1 Varer";"2021M04";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M05";"Konsumprisindeksen (2015=100)";114,5
"B1 Varer";"2021M05";"Månedsendring (prosent)";-0,2
"B1 Varer";"2021M05";"12-måneders endring (prosent)";4,1
"B1 Varer";"2021M05";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M06";"Konsumprisindeksen (2015=100)";114,8
"B1 Varer";"2021M06";"Månedsendring (prosent)";0,3
"B1 Varer";"2021M06";"12-måneders endring (prosent)";4,5
"B1 Varer";"2021M06";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M07";"Konsumprisindeksen (2015=100)";116,6
"B1 Varer";"2021M07";"Månedsendring (prosent)";1,6
"B1 Varer";"2021M07";"12-måneders endring (prosent)";5
"B1 Varer";"2021M07";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M08";"Konsumprisindeksen (2015=100)";116,8
"B1 Varer";"2021M08";"Månedsendring (prosent)";0,2
"B1 Varer";"2021M08";"12-måneders endring (prosent)";5,4
"B1 Varer";"2021M08";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M09";"Konsumprisindeksen (2015=100)";119,2
"B1 Varer";"2021M09";"Månedsendring (prosent)";2,1
"B1 Varer";"2021M09";"12-måneders endring (prosent)";6,9
"B1 Varer";"2021M09";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M10";"Konsumprisindeksen (2015=100)";118
"B1 Varer";"2021M10";"Månedsendring (prosent)";-1
"B1 Varer";"2021M10";"12-måneders endring (prosent)";5,4
"B1 Varer";"2021M10";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M11";"Konsumprisindeksen (2015=100)";119,5
"B1 Varer";"2021M11";"Månedsendring (prosent)";1,3
"B1 Varer";"2021M11";"12-måneders endring (prosent)";7,9
"B1 Varer";"2021M11";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2021M12";"Konsumprisindeksen (2015=100)";120,9
"B1 Varer";"2021M12";"Månedsendring (prosent)";1,2
"B1 Varer";"2021M12";"12-måneders endring (prosent)";8,3
"B1 Varer";"2021M12";"Konsumprisindeksen. Vekter";493,9
"B1 Varer";"2022M01";"Konsumprisindeksen (2015=100)";119,3
"B1 Varer";"2022M01";"Månedsendring (prosent)";-1,3
"B1 Varer";"2022M01";"12-måneders endring (prosent)";4,9
"B1 Varer";"2022M01";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M02";"Konsumprisindeksen (2015=100)";121,4
"B1 Varer";"2022M02";"Månedsendring (prosent)";1,8
"B1 Varer";"2022M02";"12-måneders endring (prosent)";5,5
"B1 Varer";"2022M02";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M03";"Konsumprisindeksen (2015=100)";122,3
"B1 Varer";"2022M03";"Månedsendring (prosent)";0,7
"B1 Varer";"2022M03";"12-måneders endring (prosent)";6,9
"B1 Varer";"2022M03";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M04";"Konsumprisindeksen (2015=100)";123,6
"B1 Varer";"2022M04";"Månedsendring (prosent)";1,1
"B1 Varer";"2022M04";"12-måneders endring (prosent)";7,8
"B1 Varer";"2022M04";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M05";"Konsumprisindeksen (2015=100)";124,2
"B1 Varer";"2022M05";"Månedsendring (prosent)";0,5
"B1 Varer";"2022M05";"12-måneders endring (prosent)";8,5
"B1 Varer";"2022M05";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M06";"Konsumprisindeksen (2015=100)";125,2
"B1 Varer";"2022M06";"Månedsendring (prosent)";0,8
"B1 Varer";"2022M06";"12-måneders endring (prosent)";9,1
"B1 Varer";"2022M06";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M07";"Konsumprisindeksen (2015=100)";127,9
"B1 Varer";"2022M07";"Månedsendring (prosent)";2,2
"B1 Varer";"2022M07";"12-måneders endring (prosent)";9,7
"B1 Varer";"2022M07";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M08";"Konsumprisindeksen (2015=100)";127,3
"B1 Varer";"2022M08";"Månedsendring (prosent)";-0,5
"B1 Varer";"2022M08";"12-måneders endring (prosent)";9
"B1 Varer";"2022M08";"Konsumprisindeksen. Vekter";525,6
"B1 Varer";"2022M09";"Konsumprisindeksen (2015=100)";130
"B1 Varer";"2022M09";"Månedsendring (prosent)";2,1
"B1 Varer";"2022M09";"12-måneders endring (prosent)";9,1
"B1 Varer";"2022M09";"Konsumprisindeksen. Vekter";525,6
"B11 Norske varer";"2015M01";"Konsumprisindeksen (2015=100)";100,3
"B11 Norske varer";"2015M01";"Månedsendring (prosent)";..
"B11 Norske varer";"2015M01";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M01";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M02";"Konsumprisindeksen (2015=100)";100,7
"B11 Norske varer";"2015M02";"Månedsendring (prosent)";0,4
"B11 Norske varer";"2015M02";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M02";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M03";"Konsumprisindeksen (2015=100)";99,5
"B11 Norske varer";"2015M03";"Månedsendring (prosent)";-1,2
"B11 Norske varer";"2015M03";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M03";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M04";"Konsumprisindeksen (2015=100)";99,9
"B11 Norske varer";"2015M04";"Månedsendring (prosent)";0,4
"B11 Norske varer";"2015M04";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M04";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M05";"Konsumprisindeksen (2015=100)";99,5
"B11 Norske varer";"2015M05";"Månedsendring (prosent)";-0,4
"B11 Norske varer";"2015M05";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M05";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M06";"Konsumprisindeksen (2015=100)";99,3
"B11 Norske varer";"2015M06";"Månedsendring (prosent)";-0,2
"B11 Norske varer";"2015M06";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M06";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M07";"Konsumprisindeksen (2015=100)";99,8
"B11 Norske varer";"2015M07";"Månedsendring (prosent)";0,5
