"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B22 Tjenester uten husleie";"2016M01";"12-måneders endring (prosent)";2,9
"B22 Tjenester uten husleie";"2016M01";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M02";"Konsumprisindeksen (2015=100)";102,4
"B22 Tjenester uten husleie";"2016M02";"Månedsendring (prosent)";0,8
"B22 Tjenester uten husleie";"2016M02";"12-måneders endring (prosent)";3,6
"B22 Tjenester uten husleie";"2016M02";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M03";"Konsumprisindeksen (2015=100)";103,3
"B22 Tjenester uten husleie";"2016M03";"Månedsendring (prosent)";0,9
"B22 Tjenester uten husleie";"2016M03";"12-måneders endring (prosent)";4,3
"B22 Tjenester uten husleie";"2016M03";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M04";"Konsumprisindeksen (2015=100)";102,5
"B22 Tjenester uten husleie";"2016M04";"Månedsendring (prosent)";-0,8
"B22 Tjenester uten husleie";"2016M04";"12-måneders endring (prosent)";3,3
"B22 Tjenester uten husleie";"2016M04";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M05";"Konsumprisindeksen (2015=100)";103,6
"B22 Tjenester uten husleie";"2016M05";"Månedsendring (prosent)";1,1
"B22 Tjenester uten husleie";"2016M05";"12-måneders endring (prosent)";3,8
"B22 Tjenester uten husleie";"2016M05";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M06";"Konsumprisindeksen (2015=100)";104,2
"B22 Tjenester uten husleie";"2016M06";"Månedsendring (prosent)";0,6
"B22 Tjenester uten husleie";"2016M06";"12-måneders endring (prosent)";3,6
"B22 Tjenester uten husleie";"2016M06";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M07";"Konsumprisindeksen (2015=100)";105
"B22 Tjenester uten husleie";"2016M07";"Månedsendring (prosent)";0,8
"B22 Tjenester uten husleie";"2016M07";"12-måneders endring (prosent)";4,6
"B22 Tjenester uten husleie";"2016M07";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M08";"Konsumprisindeksen (2015=100)";104,1
"B22 Tjenester uten husleie";"2016M08";"Månedsendring (prosent)";-0,9
"B22 Tjenester uten husleie";"2016M08";"12-måneders endring (prosent)";3,8
"B22 Tjenester uten husleie";"2016M08";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M09";"Konsumprisindeksen (2015=100)";104,5
"B22 Tjenester uten husleie";"2016M09";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2016M09";"12-måneders endring (prosent)";3,9
"B22 Tjenester uten husleie";"2016M09";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M10";"Konsumprisindeksen (2015=100)";104,7
"B22 Tjenester uten husleie";"2016M10";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2016M10";"12-måneders endring (prosent)";3,7
"B22 Tjenester uten husleie";"2016M10";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M11";"Konsumprisindeksen (2015=100)";104,5
"B22 Tjenester uten husleie";"2016M11";"Månedsendring (prosent)";-0,2
"B22 Tjenester uten husleie";"2016M11";"12-måneders endring (prosent)";3,8
"B22 Tjenester uten husleie";"2016M11";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2016M12";"Konsumprisindeksen (2015=100)";104,4
"B22 Tjenester uten husleie";"2016M12";"Månedsendring (prosent)";-0,1
"B22 Tjenester uten husleie";"2016M12";"12-måneders endring (prosent)";3,5
"B22 Tjenester uten husleie";"2016M12";"Konsumprisindeksen. Vekter";303,9
"B22 Tjenester uten husleie";"2017M01";"Konsumprisindeksen (2015=100)";105,1
"B22 Tjenester uten husleie";"2017M01";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2017M01";"12-måneders endring (prosent)";3,4
"B22 Tjenester uten husleie";"2017M01";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M02";"Konsumprisindeksen (2015=100)";104,9
"B22 Tjenester uten husleie";"2017M02";"Månedsendring (prosent)";-0,2
"B22 Tjenester uten husleie";"2017M02";"12-måneders endring (prosent)";2,4
"B22 Tjenester uten husleie";"2017M02";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M03";"Konsumprisindeksen (2015=100)";105,2
"B22 Tjenester uten husleie";"2017M03";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2017M03";"12-måneders endring (prosent)";1,8
"B22 Tjenester uten husleie";"2017M03";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M04";"Konsumprisindeksen (2015=100)";106,5
"B22 Tjenester uten husleie";"2017M04";"Månedsendring (prosent)";1,2
"B22 Tjenester uten husleie";"2017M04";"12-måneders endring (prosent)";3,9
"B22 Tjenester uten husleie";"2017M04";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M05";"Konsumprisindeksen (2015=100)";105,9
"B22 Tjenester uten husleie";"2017M05";"Månedsendring (prosent)";-0,6
"B22 Tjenester uten husleie";"2017M05";"12-måneders endring (prosent)";2,2
"B22 Tjenester uten husleie";"2017M05";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M06";"Konsumprisindeksen (2015=100)";107,3
"B22 Tjenester uten husleie";"2017M06";"Månedsendring (prosent)";1,3
"B22 Tjenester uten husleie";"2017M06";"12-måneders endring (prosent)";3
"B22 Tjenester uten husleie";"2017M06";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M07";"Konsumprisindeksen (2015=100)";108,1
"B22 Tjenester uten husleie";"2017M07";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2017M07";"12-måneders endring (prosent)";3
"B22 Tjenester uten husleie";"2017M07";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M08";"Konsumprisindeksen (2015=100)";106,9
"B22 Tjenester uten husleie";"2017M08";"Månedsendring (prosent)";-1,1
"B22 Tjenester uten husleie";"2017M08";"12-måneders endring (prosent)";2,7
"B22 Tjenester uten husleie";"2017M08";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M09";"Konsumprisindeksen (2015=100)";107,1
"B22 Tjenester uten husleie";"2017M09";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2017M09";"12-måneders endring (prosent)";2,5
"B22 Tjenester uten husleie";"2017M09";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M10";"Konsumprisindeksen (2015=100)";107,6
"B22 Tjenester uten husleie";"2017M10";"Månedsendring (prosent)";0,5
"B22 Tjenester uten husleie";"2017M10";"12-måneders endring (prosent)";2,8
"B22 Tjenester uten husleie";"2017M10";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M11";"Konsumprisindeksen (2015=100)";106,5
"B22 Tjenester uten husleie";"2017M11";"Månedsendring (prosent)";-1
"B22 Tjenester uten husleie";"2017M11";"12-måneders endring (prosent)";1,9
"B22 Tjenester uten husleie";"2017M11";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2017M12";"Konsumprisindeksen (2015=100)";107,3
"B22 Tjenester uten husleie";"2017M12";"Månedsendring (prosent)";0,8
"B22 Tjenester uten husleie";"2017M12";"12-måneders endring (prosent)";2,8
"B22 Tjenester uten husleie";"2017M12";"Konsumprisindeksen. Vekter";306,9
"B22 Tjenester uten husleie";"2018M01";"Konsumprisindeksen (2015=100)";107,5
"B22 Tjenester uten husleie";"2018M01";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2018M01";"12-måneders endring (prosent)";2,3
"B22 Tjenester uten husleie";"2018M01";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M02";"Konsumprisindeksen (2015=100)";108,3
"B22 Tjenester uten husleie";"2018M02";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2018M02";"12-måneders endring (prosent)";3,2
"B22 Tjenester uten husleie";"2018M02";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M03";"Konsumprisindeksen (2015=100)";108,2
"B22 Tjenester uten husleie";"2018M03";"Månedsendring (prosent)";-0,1
"B22 Tjenester uten husleie";"2018M03";"12-måneders endring (prosent)";2,9
"B22 Tjenester uten husleie";"2018M03";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M04";"Konsumprisindeksen (2015=100)";109
"B22 Tjenester uten husleie";"2018M04";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2018M04";"12-måneders endring (prosent)";2,3
"B22 Tjenester uten husleie";"2018M04";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M05";"Konsumprisindeksen (2015=100)";108,9
"B22 Tjenester uten husleie";"2018M05";"Månedsendring (prosent)";-0,1
"B22 Tjenester uten husleie";"2018M05";"12-måneders endring (prosent)";2,8
"B22 Tjenester uten husleie";"2018M05";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M06";"Konsumprisindeksen (2015=100)";110,2
"B22 Tjenester uten husleie";"2018M06";"Månedsendring (prosent)";1,2
"B22 Tjenester uten husleie";"2018M06";"12-måneders endring (prosent)";2,7
"B22 Tjenester uten husleie";"2018M06";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M07";"Konsumprisindeksen (2015=100)";111,1
"B22 Tjenester uten husleie";"2018M07";"Månedsendring (prosent)";0,8
"B22 Tjenester uten husleie";"2018M07";"12-måneders endring (prosent)";2,8
"B22 Tjenester uten husleie";"2018M07";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M08";"Konsumprisindeksen (2015=100)";110,2
"B22 Tjenester uten husleie";"2018M08";"Månedsendring (prosent)";-0,8
"B22 Tjenester uten husleie";"2018M08";"12-måneders endring (prosent)";3,1
"B22 Tjenester uten husleie";"2018M08";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M09";"Konsumprisindeksen (2015=100)";110,6
"B22 Tjenester uten husleie";"2018M09";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2018M09";"12-måneders endring (prosent)";3,3
"B22 Tjenester uten husleie";"2018M09";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M10";"Konsumprisindeksen (2015=100)";110,6
"B22 Tjenester uten husleie";"2018M10";"Månedsendring (prosent)";0
"B22 Tjenester uten husleie";"2018M10";"12-måneders endring (prosent)";2,8
"B22 Tjenester uten husleie";"2018M10";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M11";"Konsumprisindeksen (2015=100)";110,6
"B22 Tjenester uten husleie";"2018M11";"Månedsendring (prosent)";0
"B22 Tjenester uten husleie";"2018M11";"12-måneders endring (prosent)";3,8
"B22 Tjenester uten husleie";"2018M11";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2018M12";"Konsumprisindeksen (2015=100)";110,9
"B22 Tjenester uten husleie";"2018M12";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2018M12";"12-måneders endring (prosent)";3,4
"B22 Tjenester uten husleie";"2018M12";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2019M01";"Konsumprisindeksen (2015=100)";111,3
"B22 Tjenester uten husleie";"2019M01";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2019M01";"12-måneders endring (prosent)";3,5
"B22 Tjenester uten husleie";"2019M01";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M02";"Konsumprisindeksen (2015=100)";111,6
"B22 Tjenester uten husleie";"2019M02";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2019M02";"12-måneders endring (prosent)";3
"B22 Tjenester uten husleie";"2019M02";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M03";"Konsumprisindeksen (2015=100)";112
"B22 Tjenester uten husleie";"2019M03";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2019M03";"12-måneders endring (prosent)";3,5
"B22 Tjenester uten husleie";"2019M03";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M04";"Konsumprisindeksen (2015=100)";113,4
"B22 Tjenester uten husleie";"2019M04";"Månedsendring (prosent)";1,3
"B22 Tjenester uten husleie";"2019M04";"12-måneders endring (prosent)";4
"B22 Tjenester uten husleie";"2019M04";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M05";"Konsumprisindeksen (2015=100)";112,7
"B22 Tjenester uten husleie";"2019M05";"Månedsendring (prosent)";-0,6
"B22 Tjenester uten husleie";"2019M05";"12-måneders endring (prosent)";3,5
"B22 Tjenester uten husleie";"2019M05";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M06";"Konsumprisindeksen (2015=100)";113,9
"B22 Tjenester uten husleie";"2019M06";"Månedsendring (prosent)";1,1
"B22 Tjenester uten husleie";"2019M06";"12-måneders endring (prosent)";3,4
"B22 Tjenester uten husleie";"2019M06";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M07";"Konsumprisindeksen (2015=100)";114,5
"B22 Tjenester uten husleie";"2019M07";"Månedsendring (prosent)";0,5
"B22 Tjenester uten husleie";"2019M07";"12-måneders endring (prosent)";3,1
"B22 Tjenester uten husleie";"2019M07";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M08";"Konsumprisindeksen (2015=100)";114
"B22 Tjenester uten husleie";"2019M08";"Månedsendring (prosent)";-0,4
"B22 Tjenester uten husleie";"2019M08";"12-måneders endring (prosent)";3,4
"B22 Tjenester uten husleie";"2019M08";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M09";"Konsumprisindeksen (2015=100)";114,5
"B22 Tjenester uten husleie";"2019M09";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2019M09";"12-måneders endring (prosent)";3,5
"B22 Tjenester uten husleie";"2019M09";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M10";"Konsumprisindeksen (2015=100)";114,7
"B22 Tjenester uten husleie";"2019M10";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2019M10";"12-måneders endring (prosent)";3,7
"B22 Tjenester uten husleie";"2019M10";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M11";"Konsumprisindeksen (2015=100)";114,4
"B22 Tjenester uten husleie";"2019M11";"Månedsendring (prosent)";-0,3
"B22 Tjenester uten husleie";"2019M11";"12-måneders endring (prosent)";3,4
"B22 Tjenester uten husleie";"2019M11";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2019M12";"Konsumprisindeksen (2015=100)";114,5
"B22 Tjenester uten husleie";"2019M12";"Månedsendring (prosent)";0,1
"B22 Tjenester uten husleie";"2019M12";"12-måneders endring (prosent)";3,2
"B22 Tjenester uten husleie";"2019M12";"Konsumprisindeksen. Vekter";310,7
"B22 Tjenester uten husleie";"2020M01";"Konsumprisindeksen (2015=100)";116
"B22 Tjenester uten husleie";"2020M01";"Månedsendring (prosent)";1,3
"B22 Tjenester uten husleie";"2020M01";"12-måneders endring (prosent)";4,2
"B22 Tjenester uten husleie";"2020M01";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M02";"Konsumprisindeksen (2015=100)";116,1
"B22 Tjenester uten husleie";"2020M02";"Månedsendring (prosent)";0,1
"B22 Tjenester uten husleie";"2020M02";"12-måneders endring (prosent)";4
"B22 Tjenester uten husleie";"2020M02";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M03";"Konsumprisindeksen (2015=100)";116,6
"B22 Tjenester uten husleie";"2020M03";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2020M03";"12-måneders endring (prosent)";4,1
"B22 Tjenester uten husleie";"2020M03";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M04";"Konsumprisindeksen (2015=100)";117,1
"B22 Tjenester uten husleie";"2020M04";"Månedsendring (prosent)";0,4
"B22 Tjenester uten husleie";"2020M04";"12-måneders endring (prosent)";3,3
"B22 Tjenester uten husleie";"2020M04";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M05";"Konsumprisindeksen (2015=100)";117
"B22 Tjenester uten husleie";"2020M05";"Månedsendring (prosent)";-0,1
"B22 Tjenester uten husleie";"2020M05";"12-måneders endring (prosent)";3,8
"B22 Tjenester uten husleie";"2020M05";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M06";"Konsumprisindeksen (2015=100)";118
"B22 Tjenester uten husleie";"2020M06";"Månedsendring (prosent)";0,9
"B22 Tjenester uten husleie";"2020M06";"12-måneders endring (prosent)";3,6
"B22 Tjenester uten husleie";"2020M06";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M07";"Konsumprisindeksen (2015=100)";118,7
"B22 Tjenester uten husleie";"2020M07";"Månedsendring (prosent)";0,6
"B22 Tjenester uten husleie";"2020M07";"12-måneders endring (prosent)";3,7
"B22 Tjenester uten husleie";"2020M07";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M08";"Konsumprisindeksen (2015=100)";117,5
"B22 Tjenester uten husleie";"2020M08";"Månedsendring (prosent)";-1
"B22 Tjenester uten husleie";"2020M08";"12-måneders endring (prosent)";3,1
"B22 Tjenester uten husleie";"2020M08";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M09";"Konsumprisindeksen (2015=100)";117,5
"B22 Tjenester uten husleie";"2020M09";"Månedsendring (prosent)";0
"B22 Tjenester uten husleie";"2020M09";"12-måneders endring (prosent)";2,6
"B22 Tjenester uten husleie";"2020M09";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M10";"Konsumprisindeksen (2015=100)";117,6
"B22 Tjenester uten husleie";"2020M10";"Månedsendring (prosent)";0,1
"B22 Tjenester uten husleie";"2020M10";"12-måneders endring (prosent)";2,5
"B22 Tjenester uten husleie";"2020M10";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M11";"Konsumprisindeksen (2015=100)";116,9
"B22 Tjenester uten husleie";"2020M11";"Månedsendring (prosent)";-0,6
"B22 Tjenester uten husleie";"2020M11";"12-måneders endring (prosent)";2,2
"B22 Tjenester uten husleie";"2020M11";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2020M12";"Konsumprisindeksen (2015=100)";117,2
"B22 Tjenester uten husleie";"2020M12";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2020M12";"12-måneders endring (prosent)";2,4
"B22 Tjenester uten husleie";"2020M12";"Konsumprisindeksen. Vekter";316
"B22 Tjenester uten husleie";"2021M01";"Konsumprisindeksen (2015=100)";117,5
"B22 Tjenester uten husleie";"2021M01";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2021M01";"12-måneders endring (prosent)";1,3
"B22 Tjenester uten husleie";"2021M01";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M02";"Konsumprisindeksen (2015=100)";117,8
"B22 Tjenester uten husleie";"2021M02";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2021M02";"12-måneders endring (prosent)";1,5
"B22 Tjenester uten husleie";"2021M02";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M03";"Konsumprisindeksen (2015=100)";118
"B22 Tjenester uten husleie";"2021M03";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2021M03";"12-måneders endring (prosent)";1,2
"B22 Tjenester uten husleie";"2021M03";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M04";"Konsumprisindeksen (2015=100)";119
"B22 Tjenester uten husleie";"2021M04";"Månedsendring (prosent)";0,8
"B22 Tjenester uten husleie";"2021M04";"12-måneders endring (prosent)";1,6
"B22 Tjenester uten husleie";"2021M04";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M05";"Konsumprisindeksen (2015=100)";118,6
"B22 Tjenester uten husleie";"2021M05";"Månedsendring (prosent)";-0,3
"B22 Tjenester uten husleie";"2021M05";"12-måneders endring (prosent)";1,4
"B22 Tjenester uten husleie";"2021M05";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M06";"Konsumprisindeksen (2015=100)";119,4
"B22 Tjenester uten husleie";"2021M06";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2021M06";"12-måneders endring (prosent)";1,2
"B22 Tjenester uten husleie";"2021M06";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M07";"Konsumprisindeksen (2015=100)";120
"B22 Tjenester uten husleie";"2021M07";"Månedsendring (prosent)";0,5
"B22 Tjenester uten husleie";"2021M07";"12-måneders endring (prosent)";1,1
"B22 Tjenester uten husleie";"2021M07";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M08";"Konsumprisindeksen (2015=100)";119,1
"B22 Tjenester uten husleie";"2021M08";"Månedsendring (prosent)";-0,8
"B22 Tjenester uten husleie";"2021M08";"12-måneders endring (prosent)";1,4
"B22 Tjenester uten husleie";"2021M08";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M09";"Konsumprisindeksen (2015=100)";119,3
"B22 Tjenester uten husleie";"2021M09";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2021M09";"12-måneders endring (prosent)";1,5
"B22 Tjenester uten husleie";"2021M09";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M10";"Konsumprisindeksen (2015=100)";120
"B22 Tjenester uten husleie";"2021M10";"Månedsendring (prosent)";0,6
"B22 Tjenester uten husleie";"2021M10";"12-måneders endring (prosent)";2
"B22 Tjenester uten husleie";"2021M10";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M11";"Konsumprisindeksen (2015=100)";120,4
"B22 Tjenester uten husleie";"2021M11";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2021M11";"12-måneders endring (prosent)";3
"B22 Tjenester uten husleie";"2021M11";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2021M12";"Konsumprisindeksen (2015=100)";120,8
"B22 Tjenester uten husleie";"2021M12";"Månedsendring (prosent)";0,3
"B22 Tjenester uten husleie";"2021M12";"12-måneders endring (prosent)";3,1
"B22 Tjenester uten husleie";"2021M12";"Konsumprisindeksen. Vekter";297,5
"B22 Tjenester uten husleie";"2022M01";"Konsumprisindeksen (2015=100)";119,2
"B22 Tjenester uten husleie";"2022M01";"Månedsendring (prosent)";-1,3
"B22 Tjenester uten husleie";"2022M01";"12-måneders endring (prosent)";1,4
"B22 Tjenester uten husleie";"2022M01";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M02";"Konsumprisindeksen (2015=100)";119,8
"B22 Tjenester uten husleie";"2022M02";"Månedsendring (prosent)";0,5
"B22 Tjenester uten husleie";"2022M02";"12-måneders endring (prosent)";1,7
"B22 Tjenester uten husleie";"2022M02";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M03";"Konsumprisindeksen (2015=100)";120,6
"B22 Tjenester uten husleie";"2022M03";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2022M03";"12-måneders endring (prosent)";2,2
"B22 Tjenester uten husleie";"2022M03";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M04";"Konsumprisindeksen (2015=100)";123,3
"B22 Tjenester uten husleie";"2022M04";"Månedsendring (prosent)";2,2
"B22 Tjenester uten husleie";"2022M04";"12-måneders endring (prosent)";3,6
"B22 Tjenester uten husleie";"2022M04";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M05";"Konsumprisindeksen (2015=100)";123,6
"B22 Tjenester uten husleie";"2022M05";"Månedsendring (prosent)";0,2
"B22 Tjenester uten husleie";"2022M05";"12-måneders endring (prosent)";4,2
"B22 Tjenester uten husleie";"2022M05";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M06";"Konsumprisindeksen (2015=100)";125,4
"B22 Tjenester uten husleie";"2022M06";"Månedsendring (prosent)";1,5
"B22 Tjenester uten husleie";"2022M06";"12-måneders endring (prosent)";5
"B22 Tjenester uten husleie";"2022M06";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M07";"Konsumprisindeksen (2015=100)";126,2
"B22 Tjenester uten husleie";"2022M07";"Månedsendring (prosent)";0,6
"B22 Tjenester uten husleie";"2022M07";"12-måneders endring (prosent)";5,2
"B22 Tjenester uten husleie";"2022M07";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M08";"Konsumprisindeksen (2015=100)";125,5
"B22 Tjenester uten husleie";"2022M08";"Månedsendring (prosent)";-0,6
"B22 Tjenester uten husleie";"2022M08";"12-måneders endring (prosent)";5,4
"B22 Tjenester uten husleie";"2022M08";"Konsumprisindeksen. Vekter";268,7
"B22 Tjenester uten husleie";"2022M09";"Konsumprisindeksen (2015=100)";126,4
"B22 Tjenester uten husleie";"2022M09";"Månedsendring (prosent)";0,7
"B22 Tjenester uten husleie";"2022M09";"12-måneders endring (prosent)";6
"B22 Tjenester uten husleie";"2022M09";"Konsumprisindeksen. Vekter";268,7
"B221 Tjenester hvor arbeidskraft dominerer";"2015M01";"Konsumprisindeksen (2015=100)";99,1
"B221 Tjenester hvor arbeidskraft dominerer";"2015M01";"Månedsendring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M01";"12-måneders endring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M01";"Konsumprisindeksen. Vekter";86
"B221 Tjenester hvor arbeidskraft dominerer";"2015M02";"Konsumprisindeksen (2015=100)";99,3
"B221 Tjenester hvor arbeidskraft dominerer";"2015M02";"Månedsendring (prosent)";0,2
"B221 Tjenester hvor arbeidskraft dominerer";"2015M02";"12-måneders endring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M02";"Konsumprisindeksen. Vekter";86
"B221 Tjenester hvor arbeidskraft dominerer";"2015M03";"Konsumprisindeksen (2015=100)";99,3
"B221 Tjenester hvor arbeidskraft dominerer";"2015M03";"Månedsendring (prosent)";0
"B221 Tjenester hvor arbeidskraft dominerer";"2015M03";"12-måneders endring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M03";"Konsumprisindeksen. Vekter";86
"B221 Tjenester hvor arbeidskraft dominerer";"2015M04";"Konsumprisindeksen (2015=100)";99,4
"B221 Tjenester hvor arbeidskraft dominerer";"2015M04";"Månedsendring (prosent)";0,1
"B221 Tjenester hvor arbeidskraft dominerer";"2015M04";"12-måneders endring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M04";"Konsumprisindeksen. Vekter";86
"B221 Tjenester hvor arbeidskraft dominerer";"2015M05";"Konsumprisindeksen (2015=100)";99,5
"B221 Tjenester hvor arbeidskraft dominerer";"2015M05";"Månedsendring (prosent)";0,1
"B221 Tjenester hvor arbeidskraft dominerer";"2015M05";"12-måneders endring (prosent)";..
"B221 Tjenester hvor arbeidskraft dominerer";"2015M05";"Konsumprisindeksen. Vekter";86
